"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","node"
"(Intercept)36",0.884621669089263,0.4565,0.0424757129007603,-0.0680078586876134,0.384452749762753,0.765069810934294,0.906473436891567,37
"total_sleep_duration36",-7.82056417444858e-07,1,0.0424757129007603,-0.0680078586876134,0.384452749762753,0.765069810934294,-0.170338953184588,37
"awake_time36",1.05801529127978e-07,1,0.0424757129007603,-0.0680078586876134,0.384452749762753,0.765069810934294,0.0197387309405829,37
"restless_sleep36",-2.23747022774925e-05,0.8216,0.0424757129007603,-0.0680078586876134,0.384452749762753,0.765069810934294,-0.050140698698106,37
"(Intercept)37",0.831719284050751,0.555,0.135268920912569,0.0354922579409426,1.3557170272475,0.278191985491493,0.797507424261591,38
"total_sleep_duration37",3.41273658458237e-06,1,0.135268920912569,0.0354922579409426,1.3557170272475,0.278191985491493,0.376583694950685,38
"awake_time37",2.73130241325662e-06,1,0.135268920912569,0.0354922579409426,1.3557170272475,0.278191985491493,0.258154634137042,38
"restless_sleep37",-0.000253636004648955,0.1797,0.135268920912569,0.0354922579409426,1.3557170272475,0.278191985491493,-0.287956491900578,38
"(Intercept)38",0.87249317367014,0.5005,0.0749049099888925,-0.0318368311662354,0.701739630422865,0.559558420729464,0.881292373336594,39
"total_sleep_duration38",1.3689062734086e-06,1,0.0749049099888925,-0.0318368311662354,0.701739630422865,0.559558420729464,0.226647466158655,39
"awake_time38",-1.19496502010842e-07,1,0.0749049099888925,-0.0318368311662354,0.701739630422865,0.559558420729464,-0.0169466453047103,39
"restless_sleep38",-0.00018260459724663,0.1973,0.0749049099888925,-0.0318368311662354,0.701739630422865,0.559558420729464,-0.311061375360707,39
"(Intercept)39",0.913602774146021,0.108,0.164909609649224,0.0685530261472116,1.71145139912292,0.189199081683962,0.966958894059558,40
"total_sleep_duration39",1.29375248835665e-06,1,0.164909609649224,0.0685530261472116,1.71145139912292,0.189199081683962,0.146316171938118,40
"awake_time39",6.40114012438381e-07,1,0.164909609649224,0.0685530261472116,1.71145139912292,0.189199081683962,0.0620083048754759,40
"restless_sleep39",-0.000398886513710066,0.0272,0.164909609649224,0.0685530261472116,1.71145139912292,0.189199081683962,-0.464138625308591,40
"(Intercept)40",0.869526138406504,0.5586,0.0569325547557785,-0.051882919695478,0.523202743386294,0.670148111543691,0.873466446723187,41
"total_sleep_duration40",5.29090001123239e-07,1,0.0569325547557785,-0.051882919695478,0.523202743386294,0.670148111543691,0.095729296382582,41
"awake_time40",1.28480734123946e-06,1,0.0569325547557785,-0.051882919695478,0.523202743386294,0.670148111543691,0.199115337811867,41
"restless_sleep40",-0.000100113396033623,0.4136,0.0569325547557785,-0.051882919695478,0.523202743386294,0.670148111543691,-0.186365162673757,41
"(Intercept)41",0.876260909634423,0.3572,0.0952213531736706,-0.00917618299859813,0.912103452485159,0.44870185527982,0.88715266604049,42
"total_sleep_duration41",-1.52235670408026e-06,1,0.0952213531736706,-0.00917618299859813,0.912103452485159,0.44870185527982,-0.329895548123134,42
"awake_time41",-9.14057623925942e-07,1,0.0952213531736706,-0.00917618299859813,0.912103452485159,0.44870185527982,-0.16966216280682,42
"restless_sleep41",0.000127439263588972,0.2059,0.0952213531736706,-0.00917618299859813,0.912103452485159,0.44870185527982,0.284132236875068,42
"(Intercept)42",0.904544673390384,0.1805,0.123426898186533,0.0222838479772867,1.22032011029117,0.322162380069859,0.943287524362266,43
"total_sleep_duration42",1.10178671531264e-09,1,0.123426898186533,0.0222838479772867,1.22032011029117,0.322162380069859,0.000207612229612427,43
"awake_time42",-1.77967582055364e-08,1,0.123426898186533,0.0222838479772867,1.22032011029117,0.322162380069859,-0.00287241835807975,43
"restless_sleep42",-0.000181276634571476,0.1272,0.123426898186533,0.0222838479772867,1.22032011029117,0.322162380069859,-0.351442643642164,43
"(Intercept)43",0.871600276342188,0.306,0.136612277506359,0.036990617218631,1.37131098911416,0.273525641881033,0.882924496272239,44
"total_sleep_duration43",3.19180331391504e-06,1,0.136612277506359,0.036990617218631,1.37131098911416,0.273525641881033,0.328175367590851,44
"awake_time43",7.83524380091306e-07,1,0.136612277506359,0.036990617218631,1.37131098911416,0.273525641881033,0.0690039205424437,44
"restless_sleep43",-0.000404253097555127,0.0613,0.136612277506359,0.036990617218631,1.37131098911416,0.273525641881033,-0.427642088441826,44
"(Intercept)44",0.948735512683662,0.0309,0.182058524607505,0.087680662062217,1.9290384386502,0.149661973742136,1.03907053344755,45
"total_sleep_duration44",-2.10989274759394e-06,1,0.182058524607505,0.087680662062217,1.9290384386502,0.149661973742136,-0.257740486919685,45
"awake_time44",-8.0178359124339e-07,1,0.182058524607505,0.087680662062217,1.9290384386502,0.149661973742136,-0.0838939846422955,45
"restless_sleep44",-0.000185334643462794,0.2856,0.182058524607505,0.087680662062217,1.9290384386502,0.149661973742136,-0.232935723872416,45
"(Intercept)45",0.894645187426294,0.1709,0.136030775571428,0.0363420189065927,1.36455484171378,0.275537718561902,0.925806567678452,46
"total_sleep_duration45",-1.58076074213489e-06,1,0.136030775571428,0.0363420189065927,1.36455484171378,0.275537718561902,-0.273758684808673,46
"awake_time45",1.27378056749433e-06,1,0.136030775571428,0.0363420189065927,1.36455484171378,0.275537718561902,0.188950382735241,46
"restless_sleep45",-5.79050737421408e-06,0.962,0.136030775571428,0.0363420189065927,1.36455484171378,0.275537718561902,-0.010317526890022,46
"(Intercept)46",0.845827604822134,0.6159,0.0821297196062008,-0.0237783896700068,0.775480935005714,0.518282887799788,0.830443064573579,47
"total_sleep_duration46",1.74383470039213e-06,1,0.0821297196062008,-0.0237783896700068,0.775480935005714,0.518282887799788,0.235078441248126,47
"awake_time46",2.09362019212626e-06,1,0.0821297196062008,-0.0237783896700068,0.775480935005714,0.518282887799788,0.241744597935208,47
"restless_sleep46",-0.000153591035238337,0.3189,0.0821297196062008,-0.0237783896700068,0.775480935005714,0.518282887799788,-0.213025003444335,47
"(Intercept)47",0.873087318725391,0.0411,0.270818710132078,0.18668240745501,3.21880925967872,0.0390771212845733,0.887041291728201,48
"total_sleep_duration47",-1.70414032847249e-06,1,0.270818710132078,0.18668240745501,3.21880925967872,0.0390771212845733,-0.28673731665948,48
"awake_time47",2.77810327513409e-06,1,0.270818710132078,0.18668240745501,3.21880925967872,0.0390771212845733,0.400385777324361,48
"restless_sleep47",5.72665563826286e-05,0.6146,0.270818710132078,0.18668240745501,3.21880925967872,0.0390771212845733,0.0991373161265761,48
"(Intercept)48",0.824502649948331,0.6926,0.112393291509878,0.00997713283794122,1.09741756542442,0.367904112890668,0.789787619001954,49
"total_sleep_duration48",1.54722371697056e-06,1,0.112393291509878,0.00997713283794122,1.09741756542442,0.367904112890668,0.191696790531909,49
"awake_time48",3.16636953918729e-06,1,0.112393291509878,0.00997713283794122,1.09741756542442,0.367904112890668,0.336027421644852,49
"restless_sleep48",-6.4136272775448e-05,0.7118,0.112393291509878,0.00997713283794122,1.09741756542442,0.367904112890668,-0.0817565717023857,49
"(Intercept)49",0.943503499379257,0.043,0.195264839072926,0.102410782042879,2.10292199736345,0.124252480649153,1.02860232554569,50
"total_sleep_duration49",-4.729539374152e-06,1,0.195264839072926,0.102410782042879,2.10292199736345,0.124252480649153,-0.51413821427004,50
"awake_time49",-1.56874168394113e-06,1,0.195264839072926,0.102410782042879,2.10292199736345,0.124252480649153,-0.146070955068336,50
